subject_id,age,gender,sex
1,18,Woman,Female
2,18,Man,Male
3,18,Woman,Female
4,17,Woman,Female
5,24,Woman,Female
6,17,Woman,Female
7,18,Woman,Female
8,18,Woman,Female
9,18,Woman,Female
10,18,Woman,Female
12,19,Woman,Female
13,18,Woman,Female
14,18,Woman,Female
15,17,Woman,Female
16,19,Woman,Female
17,19,Woman,Female
21,18,Non-binary or similar gender identity,Female
22,18,Woman,Female
23,18,Woman,Female
24,17,Woman,Female
25,17,Woman,Female
26,18,Woman,Female
27,18,Man,Male
28,18,Woman,Female
29,19,Woman,Female
30,18,Woman,Female
31,18,Woman,Female
32,17,Woman,Female
33,19,Woman,Female
34,18,Non-binary or similar gender identity,Female
35,19,Woman,Female
36,17,Woman,Female
37,18,Woman,Female
38,17,Woman,Female
39,18,Woman,Female
40,20,Woman,Female
41,20,Woman,Female
42,18,Woman,Female
43,18,Woman,Female
44,19,Woman,Female
45,18,Woman,Female
46,18,Woman,Female
47,17,Woman,Female
48,18,Woman,Female
49,19,Woman,Female
50,19,Woman,Female
51,18,Woman,Female
52,18,Woman,Female
53,18,Woman,Female
54,19,Woman,Female
55,17,Woman,Female
56,17,Woman,Female
57,18,Woman,Female
58,18,Woman,Female
59,18,Woman,Female
60,18,Woman,Female
61,21,Woman,Female
62,20,Woman,Female
63,18,Woman,Female
64,19,Woman,Female
65,20,Woman,Female
67,17,Woman,Female
68,18,Woman,Female
69,17,Woman,Female
70,17,Man,Male
71,19,Woman,Female
72,18,Woman,Female
74,18,Man,Male
75,17,Woman,Female
76,18,Woman,Female
77,19,Woman,Female
78,19,Woman,Female
79,18,Woman,Female
80,18,Woman,Female
81,17,Woman,Female
82,19,Woman,Female
83,18,Woman,Female
84,18,Woman,Female
85,18,Woman,Female
87,18,Woman,Female
88,19,Man,Male
89,17,Woman,Female
90,19,Woman,Female
91,18,Woman,Female
92,18,Woman,Female
93,19,Woman,Female
94,21,Woman,Female
95,18,Woman,Female
96,18,Woman,Female
97,19,Woman,Female
98,18,Woman,Female
99,18,Woman,Female
100,17,Woman,Female
101,19,Man,Male
102,19,Woman,Female
